id,category,stars,character,message,weight
1,全体運,5,ルナル,今日は追い風が吹く。恐れず進めば成果は必ず現れる,15
2,全体運,5,アラン,今日は最高の日だ！何をしてもうまくいく気がするよ,15
3,全体運,5,リリア,光が道を包んでいるわ。安心して歩いて大丈夫,15
4,全体運,4,ルナル,順調に進める日だ。小さな工夫が大きな力になる,30
5,全体運,4,アラン,だいたい良い感じだよ。やりたいことに挑戦してみよう,30
6,全体運,4,リリア,風がやさしく背中を押している。自然に流れに乗ればいい,30
7,全体運,3,ルナル,曇り空のような一日だ。焦らず、堅実に進むとよい,35
8,全体運,3,アラン,まあまあだね。いいことも悪いことも半分ずつかな,35
9,全体運,3,リリア,少し霧がかかっているけど、歩みを止めなければ問題ない,35
10,全体運,2,ルナル,停滞の時だ。余計な動きを控え、力を蓄えるといい,15
11,全体運,2,アラン,ちょっとつまずきやすい日かも。焦らずゆっくり進もう,15
12,全体運,2,リリア,風が不安定に吹いている。無理に逆らわず、休むのも選択よ,15
13,全体運,1,ルナル,嵐の時だ。耐えることが、明日への礎になる,5
14,全体運,1,アラン,正直、きつい一日かも。でも大丈夫、夜は必ず明けるから,5
15,全体運,1,リリア,影が濃い日。でも光は消えていないから、信じて待って,5
16,行動運,5,ルナル,力を解き放て。今日の行動は確かな実りをもたらす,15
17,行動運,5,アラン,やればやるほど結果が出るよ！自信を持って動こう,15
18,行動運,5,リリア,流れが味方している。自然に行動が実を結ぶ日ね,15
19,行動運,4,ルナル,積極的に動くと良い。小さな挑戦が未来を変える,30
20,行動運,4,アラン,調子はいいよ！ちょっと冒険しても大丈夫,30
21,行動運,4,リリア,水が流れるように、スムーズに動ける日,30
22,行動運,3,ルナル,堅実に動けば悪くはない。ただし無理は禁物だ,35
23,行動運,3,アラン,そこそこって感じかな。焦らず普通に過ごせばいいよ,35
24,行動運,3,リリア,土のように安定している。派手な動きより基礎が大事,35
25,行動運,2,ルナル,行動は実を結びにくい。今日は準備や整理に使うべきだ,15
26,行動運,2,アラン,うまくいかないこともあるかも。だけど落ち込む必要はないよ,15
27,行動運,2,リリア,風が乱れている。今日は流れに任せて無理をしないで,15
28,行動運,1,ルナル,動けば動くほど空回りする。耐えることも力だ,5
29,行動運,1,アラン,正直、頑張っても今日は報われにくい。休むのも勇気だよ,5
30,行動運,1,リリア,嵐に木を揺らすような日。今日は守りに入ってね,5
31,精神運,5,ルナル,心は静かに澄み切っている。恐れは消え、力に変わる,15
32,精神運,5,アラン,気分は最高！笑顔でいれば自然と周りも明るくなるよ,15
33,精神運,5,リリア,光に包まれているような穏やかさ。心がやさしく輝いている,15
34,精神運,4,ルナル,心は安定している。多少の揺らぎも受け入れられるだろう,30
35,精神運,4,アラン,悪くない気分だよ。前向きに過ごせそう,30
36,精神運,4,リリア,心がやわらかく光ってる。素直になれる日ね,30
37,精神運,3,ルナル,心は半ば揺れているが、落ち着きを取り戻せる,35
38,精神運,3,アラン,ちょっと浮き沈みがあるかも。でも大丈夫、立ち直れるよ,35
39,精神運,3,リリア,曇り空のような気分。でも歩みを止めなければ晴れるわ,35
40,精神運,2,ルナル,影が心に差し込む時だ。だがその影もやがて消える,15
41,精神運,2,アラン,気持ちが沈みがちかも。でも友達と話せば元気になれるよ,15
42,精神運,2,リリア,冷たい風を感じる日。でも無理せず休めば回復するわ,15
43,精神運,1,ルナル,心は嵐の中にある。耐えてこそ新たな力が芽生える,5
44,精神運,1,アラン,正直つらい日。でも泣いたっていい、必ず立ち直れるから,5
45,精神運,1,リリア,暗い森に迷うような心。でも必ず光が差すから信じて,5
